"personefullname","total_orders","avg_orders","total_spending","last_orderdate"
"Christopher Robinson","2","25.39","50.77","4296 days"
"Curtis Zhou","2","3326.95","6653.89","4488 days"
"Curtis Zhou","2","3326.95","6653.89","4488 days"
"Christopher Clark","2","3352.13","6704.26","4310 days"
"Christopher Clark","2","3352.13","6704.26","4310 days"
"Christopher Rodriguez","2","54.68","109.35","4255 days"
"Christopher Rodriguez","2","54.68","109.35","4255 days"
"Christopher Lewis","2","64.06","128.12","4292 days"
"Christopher Lewis","2","64.06","128.12","4292 days"
"Curtis Lu","2","25.39","50.77","4220 days"
"Curtis Lu","2","25.39","50.77","4220 days"
"Dylan Davis","2","17.11","34.22","4341 days"
"Dylan Davis","2","17.11","34.22","4341 days"
"Zachary Johnson","2","3334.67","6669.34","4465 days"
"Zachary Johnson","2","3334.67","6669.34","4465 days"
"Curtis Xu","2","47.49","94.99","4277 days"
"Curtis Xu","2","47.49","94.99","4277 days"
"Christopher Lee","2","78.70","157.41","4165 days"
"Christopher Lee","2","78.70","157.41","4165 days"
"Janelle Malhotra","2","70.13","140.27","4184 days"
"Janelle Malhotra","2","70.13","140.27","4184 days"
"Curtis Gao","2","38.66","77.32","4231 days"
"Curtis Gao","2","38.66","77.32","4231 days"
"Curtis Ma","2","35.90","71.80","4219 days"
"Curtis Ma","2","35.90","71.80","4219 days"
"Christopher Walker","2","39.92","79.85","4291 days"
"Christopher Walker","2","39.92","79.85","4291 days"
"Curtis Liang","2","35.90","71.80","4186 days"
"Curtis Liang","2","35.90","71.80","4186 days"
"Alexander Miller","2","3371.46","6742.92","4283 days"
"Alexander Miller","2","3371.46","6742.92","4283 days"
"Curtis Guo","2","3377.54","6755.09","4262 days"
"Curtis Guo","2","3377.54","6755.09","4262 days"
"Alexander Wilson","2","52.19","104.39","4330 days"
"Alexander Wilson","2","52.19","104.39","4330 days"
"Curtis He","2","66.27","132.54","4164 days"
"Curtis He","2","66.27","132.54","4164 days"
"Curtis Zheng","2","3346.28","6692.55","4489 days"
"Curtis Zheng","2","3346.28","6692.55","4489 days"
"Curtis Hu","2","3372.58","6745.15","4472 days"
"Curtis Hu","2","3372.58","6745.15","4472 days"
"Curtis Cai","2","17.11","34.22","4223 days"
"Curtis Cai","2","17.11","34.22","4223 days"
"Alexander Taylor","2","3326.95","6653.89","4487 days"
"Alexander Taylor","2","3326.95","6653.89","4487 days"
"Janelle Sai","2","3373.90","6747.79","4280 days"
"Janelle Sai","2","3373.90","6747.79","4280 days"
"Curtis Zeng","2","3354.00","6708.00","4272 days"
"Curtis Zeng","2","3354.00","6708.00","4272 days"
"Brandon Thomas","2","87.82","175.64","4325 days"
"Brandon Thomas","2","87.82","175.64","4325 days"
"Curtis She","2","89.52","179.03","4177 days"
"Curtis She","2","89.52","179.03","4177 days"
"Alexander Anderson","2","69.92","139.85","4166 days"
"Alexander Anderson","2","69.92","139.85","4166 days"
"William Martinez","2","3359.81","6719.62","4263 days"
"William Martinez","2","3359.81","6719.62","4263 days"
"Jorge Zhang","2","17.11","34.22","4262 days"
"Jorge Zhang","2","17.11","34.22","4262 days"
"Zachary Williams","2","71.24","142.48","4157 days"
"Zachary Williams","2","71.24","142.48","4157 days"
"Jorge Wang","2","3331.34","6662.67","4465 days"
"Jorge Wang","2","3331.34","6662.67","4465 days"
"Jorge Chen","2","78.21","156.41","4292 days"
"Jorge Chen","2","78.21","156.41","4292 days"
"Zachary Jones","2","78.21","156.41","4184 days"
"Zachary Jones","2","78.21","156.41","4184 days"
"Jorge Li","2","39.87","79.74","4444 days"
"Jorge Li","2","39.87","79.74","4444 days"
"Brandon Jackson","2","3366.49","6732.99","4486 days"
"Brandon Jackson","2","3366.49","6732.99","4486 days"
"Jorge Liu","2","52.19","104.39","4142 days"
"Jorge Liu","2","52.19","104.39","4142 days"
"Bernard Thames","2","46.94","93.88","4223 days"
"Bernard Thames","2","46.94","93.88","4223 days"
"Jorge Yang","2","17.11","34.22","4236 days"
"Jorge Yang","2","17.11","34.22","4236 days"
"John Brown","2","21.69","43.37","4247 days"
"John Brown","2","21.69","43.37","4247 days"
"Jorge Huang","2","41.02","82.04","4491 days"
"Jorge Huang","2","41.02","82.04","4491 days"
"Jorge Wu","2","43.24","86.48","4201 days"
"Jorge Wu","2","43.24","86.48","4201 days"
"Jorge Lin","2","79.71","159.42","4390 days"
"Jorge Lin","2","79.71","159.42","4390 days"
"Jorge Zhou","2","3380.02","6760.05","4475 days"
"Jorge Zhou","2","3380.02","6760.05","4475 days"
"Jorge Ye","2","3381.07","6762.15","4465 days"
"Jorge Ye","2","3381.07","6762.15","4465 days"
"Alexander Jackson","2","13.41","26.82","4283 days"
"Alexander Jackson","2","13.41","26.82","4283 days"
"Jorge Zhao","2","17.80","35.60","4309 days"
"Jorge Zhao","2","17.80","35.60","4309 days"
"Brandon White","2","35.85","71.69","4296 days"
"Brandon White","2","35.85","71.69","4296 days"
"Alexander White","2","3346.28","6692.55","4494 days"
"Alexander White","2","3346.28","6692.55","4494 days"
"Alexander Harris","2","3331.34","6662.67","4486 days"
"Alexander Harris","2","3331.34","6662.67","4486 days"
"Jorge Lu","2","3331.91","6663.82","4472 days"
"Jorge Lu","2","3331.91","6663.82","4472 days"
"Alexander Martin","2","14.67","29.35","4156 days"
"Alexander Martin","2","14.67","29.35","4156 days"
"Alexander Thompson","2","88.70","177.41","4240 days"
"Alexander Thompson","2","88.70","177.41","4240 days"
"Alexander Garcia","2","48.49","96.99","4318 days"
"Alexander Garcia","2","48.49","96.99","4318 days"
"Jorge Xu","2","3326.95","6653.89","4484 days"
"Jorge Xu","2","3326.95","6653.89","4484 days"
"Dylan Miller","2","3335.93","6671.87","4488 days"
"Dylan Miller","2","3335.93","6671.87","4488 days"
"Alexander Martinez","2","3365.05","6730.10","4493 days"
"Alexander Martinez","2","3365.05","6730.10","4493 days"
"Alexander Robinson","1","23.75","23.75","4359 days"
"Dylan Wilson","1","15.45","15.45","4173 days"
"John Clark","1","16.83","16.83","4430 days"
"Jorge Sun","1","8.04","8.04","4188 days"
"Jorge Zhu","3","42.63","127.88","4338 days"
"Jorge Zhu","3","42.63","127.88","4338 days"
"Jorge Zhu","3","42.63","127.88","4338 days"
"Jorge Gao","1","8.04","8.04","4344 days"
"Anthony Thompson","1","8.04","8.04","4224 days"
"Jorge Ma","3","31.21","93.64","4138 days"
"Jorge Ma","3","31.21","93.64","4138 days"
"Jorge Ma","3","31.21","93.64","4138 days"
"Janelle Arthur","1","1945.32","1945.32","4248 days"
"Jorge Liang","1","66.82","66.82","4408 days"
"Jorge Guo","3","82.21","246.63","4158 days"
"Jorge Guo","3","82.21","246.63","4158 days"
"Jorge Guo","3","82.21","246.63","4158 days"
"Brandon Harris","1","14.30","14.30","4436 days"
"Anthony Garcia","3","54.84","164.52","4168 days"
"Anthony Garcia","3","54.84","164.52","4168 days"
"Anthony Garcia","3","54.84","164.52","4168 days"
"Jorge He","1","44.18","44.18","4322 days"
"John Davis","1","1918.26","1918.26","4170 days"
"Jorge Zheng","2","60.14","120.28","4382 days"
"Jorge Zheng","2","60.14","120.28","4382 days"
"Jorge Hu","2","54.12","108.25","4148 days"
"Jorge Hu","2","54.12","108.25","4148 days"
"John Moore","1","15.45","15.45","4435 days"
"Jorge Cai","1","8.04","8.04","4240 days"
"John Taylor","3","53.97","161.92","4225 days"
"John Taylor","3","53.97","161.92","4225 days"
"John Taylor","3","53.97","161.92","4225 days"
"Jorge She","2","49.16","98.31","4152 days"
"Jorge She","2","49.16","98.31","4152 days"
"Nicholas Rodriguez","2","2625.89","5251.79","4200 days"
"Nicholas Rodriguez","2","2625.89","5251.79","4200 days"
"Alan Zhang","2","2625.89","5251.79","4196 days"
"Alan Zhang","2","2625.89","5251.79","4196 days"
"Alan Wang","1","30.69","30.69","4164 days"
"John Anderson","2","2596.06","5192.13","4220 days"
"John Anderson","2","2596.06","5192.13","4220 days"
"Zachary Davis","2","3334.67","6669.34","4198 days"
"Zachary Davis","2","3334.67","6669.34","4198 days"
"Janelle Madan","2","3395.15","6790.30","4169 days"
"Janelle Madan","2","3395.15","6790.30","4169 days"
"Frank Moreno","2","3326.95","6653.89","4185 days"
"Frank Moreno","2","3326.95","6653.89","4185 days"
"Frank Munoz","2","3383.83","6767.66","4176 days"
"Frank Munoz","2","3383.83","6767.66","4176 days"
"Frank Romero","1","15.45","15.45","4236 days"
"Nicholas Lewis","1","44.18","44.18","4210 days"
"Frank Navarro","1","75.06","75.06","4145 days"
"Frank Gutierrez","1","44.18","44.18","4376 days"
"Frank Torres","1","44.18","44.18","4294 days"
"John Thomas","1","1944.77","1944.77","4230 days"
"John Jackson","2","63.80","127.59","4218 days"
"John Jackson","2","63.80","127.59","4218 days"
"Frank Dominguez","1","15.45","15.45","4471 days"
"Frank Gill","1","44.18","44.18","4323 days"
"Frank Vazquez","1","32.58","32.58","4466 days"
"Frank Blanco","1","44.18","44.18","4438 days"
"Frank Serrano","1","1918.26","1918.26","4229 days"
"Frank Ramos","1","2563.59","2563.59","4195 days"
"John White","1","2580.15","2580.15","4209 days"
"Frank Carlson","1","2560.25","2560.25","4211 days"
"Frank Suarez","1","146.90","146.90","4409 days"
"Zachary Miller","2","83.40","166.80","4167 days"
"Zachary Miller","2","83.40","166.80","4167 days"
"Frank Sanz","2","82.83","165.65","4159 days"
"Frank Sanz","2","82.83","165.65","4159 days"
"John Harris","1","2552.52","2552.52","4218 days"
"John Martin","1","44.18","44.18","4422 days"
"John Thompson","1","75.68","75.68","4146 days"
"Frank Rubio","1","1934.83","1934.83","4250 days"
"Brandon Martin","1","1934.83","1934.83","4242 days"
"William Robinson","1","1906.36","1906.36","4188 days"
"William Clark","1","1879.59","1879.59","4168 days"
"Jésus Martin","1","138.11","138.11","4453 days"
"John Rodriguez","1","44.18","44.18","4368 days"
"John Lewis","1","1961.89","1961.89","4234 days"
"Jésus Gomez","1","23.75","23.75","4141 days"
"William Rodriguez","1","1939.25","1939.25","4169 days"
"Janelle Prasad","1","1907.21","1907.21","4237 days"
"John Lee","1","1879.59","1879.59","4235 days"
"John Walker","1","1939.25","1939.25","4239 days"
"Jésus Diaz","1","1945.32","1945.32","4176 days"
"Tyler Jackson","1","1949.19","1949.19","4236 days"
"Jésus Hernandez","1","14.30","14.30","4446 days"
"Jésus Alvarez","1","2591.18","2591.18","4168 days"
"William Smith","1","2618.82","2618.82","4172 days"
"Anthony Martinez","1","2646.44","2646.44","4243 days"
"Jésus Munoz","1","2696.19","2696.19","4187 days"
"Anthony Robinson","1","2610.31","2610.31","4224 days"
"Zachary Wilson","1","14.30","14.30","4336 days"
"Jésus Alonso","1","2607.20","2607.20","4179 days"
"Jésus Romero","2","113.23","226.46","4252 days"
"Jésus Romero","2","113.23","226.46","4252 days"
"William Johnson","1","15.45","15.45","4308 days"
"Jésus Navarro","1","114.35","114.35","4482 days"
"Anthony Clark","1","5.51","5.51","4143 days"
"Jésus Gutierrez","1","2552.52","2552.52","4178 days"
"William Williams","1","5.51","5.51","4429 days"
"William Jones","1","2582.68","2582.68","4169 days"
"Jésus Dominguez","1","2653.60","2653.60","4239 days"
"Jésus Gill","2","78.43","156.87","4216 days"
"Jésus Gill","2","78.43","156.87","4216 days"
"Brandon Thompson","2","55.78","111.56","4427 days"
"Brandon Thompson","2","55.78","111.56","4427 days"
"Jésus Vazquez","1","2588.94","2588.94","4230 days"
"Anthony Rodriguez","1","2535.96","2535.96","4186 days"
"Jésus Blanco","1","2538.49","2538.49","4172 days"
"Jésus Serrano","1","2624.35","2624.35","4182 days"
"Jésus Ramos","1","32.58","32.58","4266 days"
"William Brown","1","5.51","5.51","4211 days"
"William Davis","1","2597.81","2597.81","4178 days"
"William Miller","1","2580.14","2580.14","4185 days"
"Jésus Carlson","1","2662.99","2662.99","4160 days"
"Jésus Suarez","1","2535.96","2535.96","4222 days"
"Kelvin Sun","1","5.51","5.51","4281 days"
"Jésus Sanz","1","2562.45","2562.45","4162 days"
"William Moore","1","5.51","5.51","4266 days"
"Anthony Lewis","1","5.51","5.51","4319 days"
"Jésus Rubio","1","2602.26","2602.26","4164 days"
"Tyler White","2","34.95","69.89","4234 days"
"Tyler White","2","34.95","69.89","4234 days"
"Jésus Ortega","1","14.30","14.30","4212 days"
"William Taylor","1","1909.74","1909.74","4250 days"
"Larry Martin","1","65.17","65.17","4249 days"
"Larry Gomez","2","31.47","62.94","4319 days"
"Larry Gomez","2","31.47","62.94","4319 days"
"William Anderson","1","2563.59","2563.59","4168 days"
"William Thomas","1","2647.54","2647.54","4164 days"
"Larry Rowe","1","1945.32","1945.32","4242 days"
"Larry Diaz","1","2712.75","2712.75","4165 days"
"William Lewis","1","2618.81","2618.81","4184 days"
"Larry Hernandez","1","44.18","44.18","4307 days"
"William Lee","1","2566.12","2566.12","4160 days"
"Larry Alvarez","1","44.18","44.18","4141 days"
"William Walker","1","2668.56","2668.56","4181 days"
"Brandon Smith","1","5.51","5.51","4223 days"
"Larry Jimenez","1","2598.92","2598.92","4180 days"
"Janelle Raman","1","5.51","5.51","4438 days"
"Larry Moreno","1","5.51","5.51","4455 days"
"Larry Munoz","1","5.51","5.51","4268 days"
"Larry Alonso","1","2610.31","2610.31","4163 days"
"Brandon Johnson","1","2579.58","2579.58","4177 days"
"Larry Romero","1","2577.17","2577.17","4180 days"
"Anthony Lee","1","2587.88","2587.88","4179 days"
"Brandon Garcia","1","1961.89","1961.89","4227 days"
"Brandon Williams","1","1939.25","1939.25","4229 days"
"Larry Navarro","1","2597.81","2597.81","4181 days"
"Brandon Jones","1","2574.63","2574.63","4237 days"
"Daniel Moore","1","5.51","5.51","4161 days"
"Larry Gutierrez","1","2626.54","2626.54","4181 days"
"Anthony Walker","1","2535.96","2535.96","4175 days"
"Brandon Brown","1","2607.78","2607.78","4185 days"
"Brandon Davis","1","1889.53","1889.53","4226 days"
"Larry Townsend","1","1879.59","1879.59","4247 days"
"Larry Dominguez","1","1961.89","1961.89","4235 days"
"Brandon Martinez","1","2630.42","2630.42","4176 days"
"Brandon Miller","1","2555.05","2555.05","4173 days"
"Larry Gill","1","66.82","66.82","4171 days"
"Brandon Wilson","1","28.16","28.16","4159 days"
"Brandon Moore","1","23.75","23.75","4360 days"
"Zachary Moore","1","23.75","23.75","4257 days"
"Larry Vazquez","1","23.75","23.75","4385 days"
"Janelle Subram","1","1918.26","1918.26","4236 days"
"Larry Blanco","2","55.77","111.54","4337 days"
"Larry Blanco","2","55.77","111.54","4337 days"
"Brandon Robinson","1","28.16","28.16","4220 days"
"Zachary Taylor","1","83.39","83.39","4197 days"
"Larry Serrano","2","2625.89","5251.79","4209 days"
"Larry Serrano","2","2625.89","5251.79","4209 days"
"Brandon Clark","1","5.51","5.51","4214 days"
"Brandon Rodriguez","1","75.68","75.68","4493 days"
"Larry Ramos","1","71.24","71.24","4202 days"
"Tyler Harris","1","14.30","14.30","4214 days"
"Nicholas Lee","2","2666.49","5332.98","4181 days"
"Nicholas Lee","2","2666.49","5332.98","4181 days"
"Tyler Smith","2","2615.40","5230.79","4175 days"
"Tyler Smith","2","2615.40","5230.79","4175 days"
"Larry Suarez","1","650.80","650.80","4370 days"
"Larry Sanz","1","2587.88","2587.88","4183 days"
"Brandon Lewis","2","2623.40","5246.81","4181 days"
"Brandon Lewis","2","2623.40","5246.81","4181 days"
"Daniel Weisman","2","2625.89","5251.79","4176 days"
"Daniel Weisman","2","2625.89","5251.79","4176 days"
"Larry Rubio","2","2611.14","5222.27","4186 days"
"Larry Rubio","2","2611.14","5222.27","4186 days"
"Brandon Lee","2","2596.06","5192.13","4171 days"
"Brandon Lee","2","2596.06","5192.13","4171 days"
"Larry Ortega","2","2625.89","5251.79","4170 days"
"Larry Ortega","2","2625.89","5251.79","4170 days"
"Brandi Martin","2","54.12","108.25","4148 days"
"Brandi Martin","2","54.12","108.25","4148 days"
"Brandon Walker","2","2916.79","5833.58","4522 days"
"Brandon Walker","2","2916.79","5833.58","4522 days"
"Brandi Gomez","2","2946.62","5893.24","4519 days"
"Brandi Gomez","2","2946.62","5893.24","4519 days"
"Brandi Ruiz","2","3326.95","6653.89","4477 days"
"Brandi Ruiz","2","3326.95","6653.89","4477 days"
"Brandi Diaz","2","3326.95","6653.89","4492 days"
"Brandi Diaz","2","3326.95","6653.89","4492 days"
"Brandi Hernandez","1","596.69","596.69","4323 days"
"Dylan Moore","1","87.81","87.81","4153 days"
"Brandi Ashe","1","140.64","140.64","4304 days"
"Tyler Johnson","1","44.18","44.18","4247 days"
"Brandi Jiménez","1","681.69","681.69","4337 days"
"Dylan Taylor","1","681.69","681.69","4337 days"
"Brandi Munoz","1","15.45","15.45","4468 days"
"Brandi Alonso","1","2630.42","2630.42","4181 days"
"Brandi Romero","1","2598.92","2598.92","4170 days"
"Dylan Williams","1","2574.64","2574.64","4170 days"
"Brandi Navarro","1","2562.45","2562.45","4184 days"
"Janelle Garcia","2","3331.91","6663.82","4487 days"
"Janelle Garcia","2","3331.91","6663.82","4487 days"
"Brandi Gutierrez","2","3346.28","6692.55","4478 days"
"Brandi Gutierrez","2","3346.28","6692.55","4478 days"
"Dylan Jones","2","3366.49","6732.99","4486 days"
"Dylan Jones","2","3366.49","6732.99","4486 days"
"Dylan Brown","2","3349.92","6699.85","4465 days"
"Dylan Brown","2","3349.92","6699.85","4465 days"
"Brandi Dominguez","2","3326.95","6653.89","4460 days"
"Brandi Dominguez","2","3326.95","6653.89","4460 days"
"Brandi Gill","2","3326.95","6653.89","4444 days"
"Brandi Gill","2","3326.95","6653.89","4444 days"
"Daniel Thompson","2","3346.28","6692.55","4459 days"
"Daniel Thompson","2","3346.28","6692.55","4459 days"
"Daniel Taylor","2","3359.81","6719.62","4461 days"
"Daniel Taylor","2","3359.81","6719.62","4461 days"
"Brandi Vazquez","2","3331.34","6662.67","4437 days"
"Brandi Vazquez","2","3331.34","6662.67","4437 days"
"Dylan Anderson","2","3346.28","6692.55","4434 days"
"Dylan Anderson","2","3346.28","6692.55","4434 days"
"Tyler Martin","2","120.59","241.18","4307 days"
"Tyler Martin","2","120.59","241.18","4307 days"
"Brandi Blanco","2","3331.34","6662.67","4444 days"
"Brandi Blanco","2","3331.34","6662.67","4444 days"
"Tyler Williams","2","3335.93","6671.87","4453 days"
"Tyler Williams","2","3335.93","6671.87","4453 days"
"Zachary Anderson","2","3326.95","6653.89","4445 days"
"Zachary Anderson","2","3326.95","6653.89","4445 days"
"Brandi Serrano","2","3382.24","6764.49","4445 days"
"Brandi Serrano","2","3382.24","6764.49","4445 days"
"Dylan Thomas","1","2574.63","2574.63","4178 days"
"Cindy Ramos","1","60.75","60.75","4271 days"
"Brandi Carlson","1","5.51","5.51","4139 days"
"Brandi Suarez","1","44.18","44.18","4177 days"
"Dylan Jackson","1","1934.83","1934.83","4247 days"
"Janelle Fernandez","1","1945.32","1945.32","4245 days"
"Brandi Sanz","1","137.00","137.00","4132 days"
"Brandi Rubio","1","142.51","142.51","4332 days"
"Brandi Ortega","1","15.45","15.45","4136 days"
"Leslie Martin","2","56.32","112.64","4246 days"
"Leslie Martin","2","56.32","112.64","4246 days"
"Leslie Gomez","1","114.35","114.35","4154 days"
"Dylan Harris","1","2607.76","2607.76","4175 days"
"Leslie Ruiz","1","66.28","66.28","4381 days"
"Leslie Diaz","1","5.51","5.51","4401 days"
"Dylan Martin","1","2724.85","2724.85","4173 days"
"Dylan Thompson","1","2596.73","2596.73","4182 days"
"Leslie Hernandez","1","2587.88","2587.88","4183 days"
"Leslie Alvarez","1","2640.91","2640.91","4181 days"
"Tyler Thompson","1","2648.62","2648.62","4173 days"
"Leslie Jimenez","1","2657.43","2657.43","4162 days"
"Dylan Garcia","1","87.27","87.27","4263 days"
"Janelle Lopez","1","2629.84","2629.84","4166 days"
"Leslie Moreno","1","2610.31","2610.31","4181 days"
"Leslie Munoz","1","87.27","87.27","4416 days"
"Dylan Martinez","1","132.58","132.58","4445 days"
"Leslie Ferrier","1","77.34","77.34","4439 days"
"Leslie Romero","2","88.92","177.84","4306 days"
"Leslie Romero","2","88.92","177.84","4306 days"
"Nicholas Walker","2","108.26","216.52","4186 days"
"Nicholas Walker","2","108.26","216.52","4186 days"
"Leslie Navarro","1","1918.26","1918.26","4182 days"
"Dylan Robinson","1","2561.30","2561.30","4164 days"
"Leslie Gutierrez","1","2563.59","2563.59","4189 days"
"Leslie Dominguez","1","2632.04","2632.04","4183 days"
"Leslie Gill","1","44.18","44.18","4129 days"
"Daniel Anderson","1","125.94","125.94","4473 days"
"Leslie Vazquez","1","5.51","5.51","4270 days"
"Janelle Martinez","1","2591.47","2591.47","4172 days"
"Leslie Blanco","1","2658.04","2658.04","4165 days"
"Leslie Serrano","1","60.75","60.75","4460 days"
"Tyler Jones","2","28.71","57.43","4132 days"
"Tyler Jones","2","28.71","57.43","4132 days"
"Leslie Ramos","1","60.75","60.75","4210 days"
"Tyler Brown","1","2535.96","2535.96","4182 days"
"Dylan Clark","1","2563.59","2563.59","4165 days"
"Dylan Rodriguez","1","2604.43","2604.43","4162 days"
"Tyler Davis","1","2653.60","2653.60","4163 days"
"Leslie Suarez","2","52.08","104.16","4245 days"
"Leslie Suarez","2","52.08","104.16","4245 days"
"Dylan Lewis","1","137.00","137.00","4333 days"
"Leslie Sanz","1","1918.26","1918.26","4240 days"
"Leslie Rubio","1","1276.81","1276.81","4521 days"
"Leslie Ortega","1","1907.21","1907.21","4244 days"
"Kathleen Martin","1","32.58","32.58","4419 days"
"Kathleen Gomez","1","2598.92","2598.92","4164 days"
"Janelle Gonzalez","1","1939.25","1939.25","4243 days"
"Dylan Lee","1","1292.25","1292.25","4471 days"
"Dylan Walker","1","71.24","71.24","4182 days"
"Kathleen Diaz","1","1889.53","1889.53","4250 days"
"Tyler Miller","1","5.51","5.51","4446 days"
"Zachary Smith","1","1879.59","1879.59","4244 days"
"Anthony Johnson","2","85.89","171.77","4429 days"
"Anthony Johnson","2","85.89","171.77","4429 days"
"Kathleen Hernandez","1","5.51","5.51","4149 days"
"Zachary Thomas","1","1879.59","1879.59","4221 days"
"Kathleen Alvarez","1","1303.31","1303.31","4480 days"
"Tyler Garcia","1","1934.83","1934.83","4232 days"
"Kathleen Jimenez","1","1918.26","1918.26","4229 days"
"Zachary Jackson","1","2615.49","2615.49","4183 days"
"Kathleen Moreno","1","2640.91","2640.91","4161 days"
"Zachary White","1","1914.15","1914.15","4239 days"
"Zachary Harris","1","1934.83","1934.83","4193 days"
"Kathleen Munoz","1","1895.04","1895.04","4220 days"
"Zachary Martin","1","1977.34","1977.34","4196 days"
"Anthony Williams","1","2629.33","2629.33","4173 days"
"Kathleen Alonso","1","1879.59","1879.59","4202 days"
"Zachary Thompson","1","1914.15","1914.15","4202 days"
"Kathleen Romero","1","5.51","5.51","4485 days"
"Kathleen Navarro","1","1297.80","1297.80","4454 days"
"Zachary Garcia","1","1238.14","1238.14","4444 days"
"Janelle Rodriguez","1","15.45","15.45","4390 days"
"Kathleen Gutierrez","2","46.27","92.53","4343 days"
"Kathleen Gutierrez","2","46.27","92.53","4343 days"
"Zachary Martinez","1","44.18","44.18","4434 days"
"Tyler Wilson","1","87.27","87.27","4234 days"
"Kathleen Torres","1","87.27","87.27","4202 days"
"Tyler Moore","1","77.34","77.34","4458 days"
"Kathleen Gill","1","2598.92","2598.92","4178 days"
"Tyler Martinez","1","77.34","77.34","4221 days"
"Daniel Garcia","1","1293.38","1293.38","4419 days"
"Daniel Clark","1","2598.92","2598.92","4176 days"
"Kathleen Vazquez","1","2562.45","2562.45","4171 days"
"Zachary Robinson","1","132.58","132.58","4483 days"
"Kathleen Serrano","1","137.00","137.00","4455 days"
"Kathleen Ramos","1","87.27","87.27","4222 days"
"Zachary Clark","1","2566.12","2566.12","4162 days"
"Kathleen Carlson","1","77.34","77.34","4232 days"
"Don Roessler","1","132.58","132.58","4246 days"
"Kelvin Zhu","1","1954.70","1954.70","4203 days"
"Janelle Sanchez","1","132.58","132.58","4380 days"
"Kathleen Rubio","1","132.58","132.58","4457 days"
"Kathleen Ortega","1","2535.96","2535.96","4189 days"
"Tyler Robinson","1","77.34","77.34","4459 days"
"Stacy Martin","1","2570.19","2570.19","4172 days"
"Anthony Jones","1","2574.64","2574.64","4223 days"
"Daniel Harris","1","1961.89","1961.89","4201 days"
"Stacy Gomez","1","1945.32","1945.32","4202 days"
"Tyler Taylor","1","1879.59","1879.59","4202 days"
"Anthony Brown","1","87.27","87.27","4392 days"
"Stacy Ruiz","2","28.71","57.43","4327 days"
"Stacy Ruiz","2","28.71","57.43","4327 days"
"Stacy Diaz","1","77.34","77.34","4445 days"
"Anthony Davis","1","132.58","132.58","4422 days"
"Stacy Hernandez","1","1332.04","1332.04","4428 days"
"Tyler Anderson","2","32.74","65.47","4171 days"
"Tyler Anderson","2","32.74","65.47","4171 days"
"Anthony Miller","1","1918.26","1918.26","4215 days"
"Stacy Alvarez","1","1934.83","1934.83","4207 days"
"Anthony Wilson","1","1934.83","1934.83","4192 days"
"Anthony Moore","1","1895.04","1895.04","4193 days"
"Janelle Perez","1","1973.50","1973.50","4203 days"
"Stacy Moreno","1","2538.49","2538.49","4162 days"
"Stacy Munoz","1","2643.09","2643.09","4183 days"
"Stacy Alonso","1","132.58","132.58","4290 days"
"Stacy Navarro","1","2587.88","2587.88","4172 days"
"Anthony Taylor","1","2563.59","2563.59","4168 days"
"Stacy Gutierrez","1","2580.14","2580.14","4175 days"
"Stacy Torres","1","1911.62","1911.62","4192 days"
"Stacy Dominguez","1","1268.29","1268.29","4420 days"
"Stacy Gill","1","35.67","35.67","4136 days"
"Anthony Anderson","1","43.07","43.07","4328 days"
"Stacy Vazquez","2","1658.08","3316.15","4173 days"
"Stacy Vazquez","2","1658.08","3316.15","4173 days"
"Orlando Martin","2","1675.91","3351.83","4454 days"
"Orlando Martin","2","1675.91","3351.83","4454 days"
"Stacy Blanco","1","71.79","71.79","4194 days"
"Ram Thirunavukkarasu","1","41.18","41.18","4300 days"
"Daniel Thomas","1","33.14","33.14","4462 days"
"Stacy Serrano","2","1521.49","3042.97","4230 days"
"Stacy Serrano","2","1521.49","3042.97","4230 days"
"Anthony White","3","1710.82","5132.45","4218 days"
"Anthony White","3","1710.82","5132.45","4218 days"
"Anthony White","3","1710.82","5132.45","4218 days"
"Anthony Harris","2","1672.59","3345.19","4343 days"
"Anthony Harris","2","1672.59","3345.19","4343 days"
"Stacy Ramos","1","142.49","142.49","4369 days"
"Stacy Carlson","1","27.61","27.61","4290 days"
"Stacy Suarez","1","54.11","54.11","4172 days"
"Daniel Lewis","1","27.61","27.61","4184 days"
"Tyler Clark","1","35.66","35.66","4471 days"
"Stacy Rubio","2","1543.41","3086.82","4234 days"
"Stacy Rubio","2","1543.41","3086.82","4234 days"
"Daniel Lee","2","1341.12","2682.24","4222 days"
"Daniel Lee","2","1341.12","2682.24","4222 days"
"Stacy Ortega","1","180.10","180.10","4477 days"
"Diana Martin","1","65.17","65.17","4282 days"
"Tyler Rodriguez","2","67.37","134.74","4223 days"
"Tyler Rodriguez","2","67.37","134.74","4223 days"
"Daniel Walker","1","1945.32","1945.32","4196 days"
"Orlando Gomez","1","1879.59","1879.59","4192 days"
"Diana Ruiz","1","44.18","44.18","4455 days"
"Tyler Lewis","1","1238.14","1238.14","4426 days"
"Daniel Martinez","2","119.56","239.12","4152 days"
"Daniel Martinez","2","119.56","239.12","4152 days"
"Diana Hernandez","1","2563.59","2563.59","4177 days"
"Tyler Lee","2","74.83","149.66","4332 days"
"Tyler Lee","2","74.83","149.66","4332 days"
"Diana Alvarez","1","1879.59","1879.59","4211 days"
"Tyler Walker","1","1918.26","1918.26","4202 days"
"Diana Jimenez","1","662.41","662.41","4335 days"
